name,path,coverage,func_invoked,func_all
_workspace_finance_10_com.autostart.apk,/workspace/ella-master6/ella-out/_workspace_finance_10_com.autostart.apk/,84.81012658,67,79
21cfe5e7b7987b78a902a2a7baf3e1d6261c5ddf579285a8936189f9cc7770ec,/workspace/ella-master10/ella-out/21cfe5e7b7987b78a902a2a7baf3e1d6261c5ddf579285a8936189f9cc7770ec/,57.9766537,149,257
_workspace_fdroidWriting_1_org.billthefarmer.diary_198.apk,/workspace/ella-master7/ella-out/_workspace_fdroidWriting_1_org.billthefarmer.diary_198.apk/,54.88673139,848,1545
_workspace_fdroidMulti_1_org.billthefarmer.tuner_151.apk,/workspace/ella-master10/ella-out/_workspace_fdroidMulti_1_org.billthefarmer.tuner_151.apk/,53.51351351,99,185
6af046ae878493c289049bfcc745a6a9c4609938dde000839bcaf7298cb8dde1,/workspace/ella-master8/ella-out/6af046ae878493c289049bfcc745a6a9c4609938dde000839bcaf7298cb8dde1/,45.45454545,10,22
7ccf3968056b8792cabb118387277938bfe0892f42284d272b3d53dbf9d00560,/workspace/ella-master10/ella-out/7ccf3968056b8792cabb118387277938bfe0892f42284d272b3d53dbf9d00560/,42.61414503,952,2234
df7ec98aa02b77631746665bfa8ff0d9cc3e22a5bc9f28ebd11105f916b7c591,/workspace/ella-master6/ella-out/df7ec98aa02b77631746665bfa8ff0d9cc3e22a5bc9f28ebd11105f916b7c591/,41.7218543,63,151
_workspace_fdroidEdu_1_com.cax.pmk.ext_331.apk,/workspace/ella-master9/ella-out/_workspace_fdroidEdu_1_com.cax.pmk.ext_331.apk/,36.24454148,83,229
b08170d9c40ea560e11f76352b614faf4557914d6203ef3f362d95d9a07a6238,/workspace/ella-master8/ella-out/b08170d9c40ea560e11f76352b614faf4557914d6203ef3f362d95d9a07a6238/,33.92466053,1549,4566
_workspace_fdroidSport_1_com.derdilla.bloodPressureApp_13.apk,/workspace/ella-master8/ella-out/_workspace_fdroidSport_1_com.derdilla.bloodPressureApp_13.apk/,33.91933816,1640,4835
_workspace_beauty_100_9_com.studio.aone.girlshairstyle.hairstylestepbystep.apk,/workspace/ella-master6/ella-out/_workspace_beauty_100_9_com.studio.aone.girlshairstyle.hairstylestepbystep.apk/,33.83278599,4945,14616
ccfb7b54888f408007139c36ae2af46dd22ea3e442b2d0bfb3a8575940d832fb,/workspace/ella-master10/ella-out/ccfb7b54888f408007139c36ae2af46dd22ea3e442b2d0bfb3a8575940d832fb/,32.85230714,1844,5613
99d36465859ff1389ea0d4f3d6f002eb0de2f5bc9369493b2ff632cf9bce3c1c,/workspace/ella-master8/ella-out/99d36465859ff1389ea0d4f3d6f002eb0de2f5bc9369493b2ff632cf9bce3c1c/,32.13793103,233,725
_workspace_fdroidEdu_1_dev.pesic.rpncalc_9.apk,/workspace/ella-master9/ella-out/_workspace_fdroidEdu_1_dev.pesic.rpncalc_9.apk/,31.65401426,1376,4347
766da5f7951b55da3aefb5de4dbe15e1c505e26eca71b5085e428026de5cc3e9,/workspace/ella-master9/ella-out/766da5f7951b55da3aefb5de4dbe15e1c505e26eca71b5085e428026de5cc3e9/,31.41025641,147,468
83ddb4b16fc7b6522bfa3430a2726c96fe04545ad54028e64210c8d4932b6734,/workspace/ella-master8/ella-out/83ddb4b16fc7b6522bfa3430a2726c96fe04545ad54028e64210c8d4932b6734/,31.32701068,4195,13391
_workspace_fdroidWriting_1_org.billthefarmer.notes_135.apk,/workspace/ella-master7/ella-out/_workspace_fdroidWriting_1_org.billthefarmer.notes_135.apk/,30.91905052,508,1643
18295f04e4600b3db16defee4b16cb987e8b81dcf66daebf6b2abdc129777587,/workspace/ella-master7/ella-out/18295f04e4600b3db16defee4b16cb987e8b81dcf66daebf6b2abdc129777587/,28.72523529,7844,27307
_workspace_auto_100_9_com.drivetime.MobileOnline.apk,/workspace/ella-master6/ella-out/_workspace_auto_100_9_com.drivetime.MobileOnline.apk/,28.43484419,803,2824
_workspace_lifestyle_13_com.rvappstudios.magnifyingglass.apk,/workspace/ella-master6/ella-out/_workspace_lifestyle_13_com.rvappstudios.magnifyingglass.apk/,28.33343971,4439,15667
_workspace_travel_local_100_9_com.usefulappsbd.bangla_to_english.apk,/workspace/ella-master6/ella-out/_workspace_travel_local_100_9_com.usefulappsbd.bangla_to_english.apk/,26.99280313,5926,21954
94dc9b9a54418e81c18ab7bc7a4900b7c142ef8166848fdd04d601075d369e82,/workspace/ella-master10/ella-out/94dc9b9a54418e81c18ab7bc7a4900b7c142ef8166848fdd04d601075d369e82/,26.543495,8620,32475
7c58602446d95a63817f4952348a42e40a69441f621aabe3882fa6271d1ca21b,/workspace/ella-master8/ella-out/7c58602446d95a63817f4952348a42e40a69441f621aabe3882fa6271d1ca21b/,26.32683879,7148,27151
8145ef17eef78827404cf7aafbd1d14db515260515b8732340567b707785b893,/workspace/ella-master9/ella-out/8145ef17eef78827404cf7aafbd1d14db515260515b8732340567b707785b893/,25.85542715,5705,22065
8f70252b986d2f40642ff48fed07838e8b63e66c77128322794f9d9dea3bd2ff,/workspace/ella-master10/ella-out/8f70252b986d2f40642ff48fed07838e8b63e66c77128322794f9d9dea3bd2ff/,25.430859,1874,7369
_workspace_fdroidSport_1_io.github.friesi23.mhabit_10.apk,/workspace/ella-master8/ella-out/_workspace_fdroidSport_1_io.github.friesi23.mhabit_10.apk/,24.86716259,1638,6587
41e13bd81139e904160c8bd1076bb79f67d485694e2f620afdd4794372a9ef91,/workspace/ella-master10/ella-out/41e13bd81139e904160c8bd1076bb79f67d485694e2f620afdd4794372a9ef91/,22.79151119,9773,42880
1bc03bf12bd657981290308399d06949efae608e905556cec21c756000667ebe,/workspace/ella-master7/ella-out/1bc03bf12bd657981290308399d06949efae608e905556cec21c756000667ebe/,22.49828817,9200,40892
96fcfbe059241439988092f26999e9c95794b7d10b7eb2ce4d2e5746ca02e271,/workspace/ella-master9/ella-out/96fcfbe059241439988092f26999e9c95794b7d10b7eb2ce4d2e5746ca02e271/,22.0303757,4134,18765
e6fb45215d540588edfceb850d30a36d3b971510c174f8c8519b97991fd7129f,/workspace/ella-master8/ella-out/e6fb45215d540588edfceb850d30a36d3b971510c174f8c8519b97991fd7129f/,21.63152195,6791,31394
_workspace_auto_100_2_altergames.carlauncher.apk,/workspace/ella-master6/ella-out/_workspace_auto_100_2_altergames.carlauncher.apk/,21.62056622,3322,15365
40c90ce86bd0d02d967cf8aec2b60f583baf03593c5a08d1bf4a13b3eed5da91,/workspace/ella-master6/ella-out/40c90ce86bd0d02d967cf8aec2b60f583baf03593c5a08d1bf4a13b3eed5da91/,21.61101253,4019,18597
_workspace_auto_100_4_net.wavis.laserappraiser.apk,/workspace/ella-master6/ella-out/_workspace_auto_100_4_net.wavis.laserappraiser.apk/,21.42045174,4334,20233
_workspace_fdroidSport_1_com.tombursch.kitchenowl_76.apk,/workspace/ella-master8/ella-out/_workspace_fdroidSport_1_com.tombursch.kitchenowl_76.apk/,20.77841204,2002,9635
dfd1e800bdfa9fff447c75882ac7cefe052372f9e566ed80de18b9c3f9bd1699,/workspace/ella-master6/ella-out/dfd1e800bdfa9fff447c75882ac7cefe052372f9e566ed80de18b9c3f9bd1699/,20.36813955,4227,20753
2188b21cfe1dd79da76fa692374c3647558fbf7fcbc27e782f1cd7450d2a05a9,/workspace/ella-master8/ella-out/2188b21cfe1dd79da76fa692374c3647558fbf7fcbc27e782f1cd7450d2a05a9/,20.20346178,5521,27327
db18d1f87dedf9d5a4c74b351860d078fe2b296e7134e98d0ad665c33373c370,/workspace/ella-master8/ella-out/db18d1f87dedf9d5a4c74b351860d078fe2b296e7134e98d0ad665c33373c370/,19.30082096,3550,18393
638e1a5aea290eb1fb956ff2ceadf50ead6647f50a4849a0769cc9b9782dd09f,/workspace/ella-master8/ella-out/638e1a5aea290eb1fb956ff2ceadf50ead6647f50a4849a0769cc9b9782dd09f/,18.89249283,4019,21273
71bdf5d6af1e6ce9897f4a19cd8ca296dc9b29348e9dfa11e227d17676d2d0d6,/workspace/ella-master8/ella-out/71bdf5d6af1e6ce9897f4a19cd8ca296dc9b29348e9dfa11e227d17676d2d0d6/,18.62365591,3464,18600
a9789820551f8f844dbcdce04bca84282028b5db145a3d00fba5beee6ac5d79e,/workspace/ella-master9/ella-out/a9789820551f8f844dbcdce04bca84282028b5db145a3d00fba5beee6ac5d79e/,18.50329332,3961,21407
_workspace_travel_local_100_3_io.walletpasses.android.apk,/workspace/ella-master6/ella-out/_workspace_travel_local_100_3_io.walletpasses.android.apk/,17.7670013,6265,35262
4a915f5bc7f97e3f41c8625c1f6cbe976eb911d56f4fbe8bd9206cd52cfaca01,/workspace/ella-master6/ella-out/4a915f5bc7f97e3f41c8625c1f6cbe976eb911d56f4fbe8bd9206cd52cfaca01/,17.7311828,3298,18600
54435e03bbdf097501519d4d8acda5d25f9ce1687148bac372d8b1b32b0437b3,/workspace/ella-master7/ella-out/54435e03bbdf097501519d4d8acda5d25f9ce1687148bac372d8b1b32b0437b3/,17.32838115,6765,39040
8274b41e14ccb8867664bc8d82c6c71e2e8944f4c34253d1dbd8f201fe17b61f,/workspace/ella-master6/ella-out/8274b41e14ccb8867664bc8d82c6c71e2e8944f4c34253d1dbd8f201fe17b61f/,17.27097485,3763,21788
dc9311c91385b920520c4bf6117718d60f7adefb7812a8442347cf6086215400,/workspace/ella-master10/ella-out/dc9311c91385b920520c4bf6117718d60f7adefb7812a8442347cf6086215400/,16.82697716,5983,35556
5c21d06356955733b549258fd126dca8c9d11784399a1582577ca170ee9af915,/workspace/ella-master8/ella-out/5c21d06356955733b549258fd126dca8c9d11784399a1582577ca170ee9af915/,16.34372367,388,2374
163cf41496ebc8e275dce2bd9aba098b717075cc824ee88c670c1739b8d59be1,/workspace/ella-master6/ella-out/163cf41496ebc8e275dce2bd9aba098b717075cc824ee88c670c1739b8d59be1/,16.22618316,264,1627
